Name,Position,Height,Weight,Age
Adam Donachie,Catcher,74,180,22.99
Paul Bako,Catcher,74,215,34.69
Ramon Hernandez,Catcher,72,210,30.78
Kevin Millar,First Baseman,72,210,35.43
Chris Gomez,First Baseman,73,188,35.71
Brian Roberts,Second Baseman,69,176,29.39
Miguel Tejada,Shortstop,69,209,30.77
Melvin Mora,Third Baseman,71,200,35.07
Aubrey Huff,Third Baseman,76,231,30.19
Adam Stern,Outfielder,71,180,27.05
Jeff Fiorentino,Outfielder,73,188,23.88
Freddie Bynum,Outfielder,73,180,26.96
Nick Markakis,Outfielder,74,185,23.29
Brandon Fahey,Outfielder,74,160,26.11
Corey Patterson,Outfielder,69,180,27.55
Jay Payton,Outfielder,70,185,34.27
Jay Gibbons,Designated Hitter,72,197,30
Erik Bedard,Starting Pitcher,73,189,27.99
Hayden Penn,Starting Pitcher,75,185,22.38
Adam Loewen,Starting Pitcher,78,219,22.89
Daniel Cabrera,Starting Pitcher,79,230,25.76
Steve Trachsel,Starting Pitcher,76,205,36.33
Jaret Wright,Starting Pitcher,74,230,31.17
Kris Benson,Starting Pitcher,76,195,32.31
Scott Williamson,Relief Pitcher,72,180,31.03
John Parrish,Relief Pitcher,71,192,29.26
Danys Baez,Relief Pitcher,75,225,29.47
Chad Bradford,Relief Pitcher,77,203,32.46
Jamie Walker,Relief Pitcher,74,195,35.67
Brian Burres,Relief Pitcher,73,182,25.89
Kurt Birkins,Relief Pitcher,74,188,26.55
James Hoey,Relief Pitcher,78,200,24.17
Sendy Rleal,Relief Pitcher,73,180,26.69
Chris Ray,Relief Pitcher,75,200,25.13
Jeremy Guthrie,Relief Pitcher,73,200,27.9
A.J. Pierzynski,Catcher,75,245,30.17
Toby Hall,Catcher,75,240,31.36
Paul Konerko,First Baseman,74,215,30.99
Tadahito Iguchi,Second Baseman,69,185,32.24
Juan Uribe,Shortstop,71,175,27.61
Alex Cintron,Shortstop,74,199,28.2
Joe Crede,Third Baseman,73,200,28.85
Josh Fields,Third Baseman,73,215,24.21
Ryan Sweeney,Outfielder,76,200,22.02
Brian N. Anderson,Outfielder,74,205,24.97
Luis Terrero,Outfielder,74,206,26.78
Pablo Ozuna,Outfielder,70,186,32.51
Scott Podsednik,Outfielder,72,188,30.95
Jermaine Dye,Outfielder,77,220,33.09
Darin Erstad,Outfielder,74,210,32.74
Rob Mackowiak,Outfielder,70,195,30.69
Jim Thome,Designated Hitter,76,244,36.51
Jerry Owens,Designated Hitter,75,195,26.03
Charlie Haeger,Starting Pitcher,73,200,23.45
Heath Phillips,Starting Pitcher,75,200,24.94
Gavin Floyd,Starting Pitcher,76,212,24.09
Jose Contreras,Starting Pitcher,76,224,35.23
Jon Garland,Starting Pitcher,78,210,27.43
Javier Vazquez,Starting Pitcher,74,205,30.6
Mark Buehrle,Starting Pitcher,74,220,27.94
Mike MacDougal,Relief Pitcher,76,195,29.99
David Aardsma,Relief Pitcher,77,200,25.17
Andrew Sisco,Relief Pitcher,81,260,24.13
Matt Thornton,Relief Pitcher,78,228,30.46
Bobby Jenks,Relief Pitcher,75,270,25.96
Boone Logan,Relief Pitcher,77,200,22.55
Sean Tracey,Relief Pitcher,75,210,26.29
Nick Masset,Relief Pitcher,76,190,24.79
Jose Molina,Catcher,74,220,31.74
Jeff Mathis,Catcher,72,180,23.92
Mike Napoli,Catcher,72,205,25.33
Casey Kotchman,First Baseman,75,210,24.02
Kendry Morales,First Baseman,73,220,23.7
Shea Hillenbrand,First Baseman,73,211,31.59
Robb Quinlan,First Baseman,73,200,29.95
Howie Kendrick,First Baseman,70,180,23.64
Orlando Cabrera,Shortstop,70,190,32.33
Erick Aybar,Shortstop,70,170,23.13
Dallas McPherson,Third Baseman,76,230,26.6
Maicer Izturis,Third Baseman,68,155,26.46
Reggie Willits,Outfielder,71,185,25.75
Tommy Murphy,Outfielder,72,185,27.51
Terry Evans,Outfielder,75,200,25.11
